,LipSync,,,,,,,Total filament (g),,,Unit Cost,Total Cost,Total Print time (hr),,,,,,,,,,,,,,,,,,,
,Version:,4.1,,Last updated:,2025-Mar-21,,,158,,, $176.11 , $295.70 ,15:03,,,,,,,,,,,,,,,,,,,
,Commercial Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Part,Description,,Manufacturer,Supplier,Supplier PN,QTY,QTY / PKG,PKGs,$/PKG,Price per Unit,Total Price,,Link,Alternate,,,,,,,,,,,,,,,,,
Joystick Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U2,TLV493D,Adafruit TLV493D Triple-Axis Magnetometer - STEMMA QT / Qwiic,Joystick,Adafruit,Digikey,1528-4366-ND,1,1,1, $8.53 , $8.53 , $8.53 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4366/10481837 ,,,,,,,,,,,,,,,,,,
U3,LPS33HW,Adafruit LPS33HW Water Resistant Pressure Sensor - STEMMA QT,Joystick,Adafruit,Digikey,1528-4414-ND,1,1,1, $17.91 , $17.91 , $17.91 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4414/11201428 ,,,,,,,,,,,,,,,,,,
U4,LPS22,Adafruit LPS22 Pressure Sensor - STEMMA QT / Qwiic - LPS22HB,Joystick,Adafruit,Digikey,1528-4633-ND,1,1,1, $9.96 , $9.96 , $9.96 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4633/12396897,,,,,,,,,,,,,,,,,,
BRG,Bearing,"0.250"" ball bearing, 1/4"" ID, 0.5"" OD",Joystick,Mechatronics Bearing Group,Digikey,1995-1003-ND,4,1,4, $3.41 , $13.64 , $13.64 ,,https://www.digikey.ca/en/products/detail/mechatronics-bearing-group/DDRI814ZZRA3P25LY121/9608362 ,,,,,,,,,,,,,,,,,,
MAG,Magnet,"Cylindrical magnet, 8 mm OD, 2.5 mm thick",Joystick,"Radial Magnet, Inc.",Digikey,469-1029-ND,3,1,3, $1.18 , $3.54 , $3.54 ,,https://www.digikey.ca/en/products/detail/radial-magnets-inc/9029/5218824,,,,,,,,,,,,,,,,,,
CBL-QWIIC-150-M,QWIIC-150 to Male Headers,JST SH 4-PIN TO PREMIUM MALE HEA,Joystick,Adafruit,Digikey,1528-4209-ND,1,1,1, $1.39 , $1.39 , $1.39 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4209/10230003,,,,,,,,,,,,,,,,,,
CBL-QWIIC-50,QWIIC-50,Qwiic JST SH 4-pin Cable - 50mm  ,Joystick,SparkFun Electronics,Digikey,1568-PRT-17260-ND,1,1,1, $1.52 , $1.52 , $1.52 ,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-17260/13629028,,,,,,,,,,,,,,,,,,
CBL-QWIIC-200,QWIIC-200,Qwiic Cable JST SH 4-pin Cable - 200mm,Joystick,SparkFun Electronics,Digikey,1568-PRT-17258-ND‎,1,1,1, $2.48 , $2.48 , $2.48 ,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-17258/13629029?s=N4IgTCBcDaIAoCUAqBaAjAdjAVgBwgF0BfIA ,,,,,,,,,,,,,,,,,,
PCB2,RJ11 Breakout board,RJ11 Breakout,Joystick,SparkFun Electronics,Digikey,1568-1440-ND,1,2,1, $3.01 , $1.51 , $3.01 ,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/BOB-14021/6228638,,,,,,,,,,,,,,,,,,
CBL-RJ11,RJ11 cable,"Modular Cable Plug to Plug 6p6c (RJ11, RJ12, RJ14, RJ25) 7.00' (2.13m) Unshielded",Joystick Cable,Assmann WSW Components,Digikey,A2662R-07-ND,1,1,1, $3.94 , $3.94 , $3.94 ,,https://www.digikey.ca/en/products/detail/assmann-wsw-components/AT-S-26-6-6-B-7-R/1972588 ,,,,,,,,,,,,,,,,,,
J1,Modular Connector Jack,"Jack Modular Connector 6p6c (RJ11, RJ12, RJ14, RJ25) 90° Angle (Right) Unshielded Cat3",Joystick,TE Connectivity AMP Connectors,Digikey,A31422-ND,2,1,2, $1.45 , $2.90 , $2.90 ,,https://www.digikey.ca/en/products/detail/te-connectivity-amp-connectors/5555165-1/769566,,,,,,,,,,,,,,,,,,
-,Male Luer Connectors,Mouthpiece Connector to Gimbal,Joystick,,Amazon,B13193,1,30,1, $11.99 , $0.40 , $11.99 ,,https://www.amazon.ca/gp/product/B0B8CJVX3S,,,,,,,,,,,,,,,,,,
-,"Silicone Tubing, 2 mm ID, 4 mm OD",Air path to sensor,Joystick,,Amazon,,50,3000,1, $12.49 , $0.21 , $12.49 ,,https://www.amazon.ca/gp/product/B01C3GCZTM,,,,,,,,,,,,,,,,,,
Hub Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBL-QWIIC-100,QWIIC-100,Qwiic JST SH 4-pin Cable - 100 mm  ,Hub,Adafruit,Digikey,1528-4210-ND,1,1,1, $1.39 , $1.39 , $1.39 ,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4210/10230021 ,,,,,,,,,,,,,,,,,,
